加油日期,累積公里數,加油費用,加油公升數,95無鉛汽油油價,下次加油累積公里數,行駛公里數,油耗,每公里費用s 
2018/06/26,84394,90,2.99,30.0,84504,110,36.8,0.8  
2018/07/04,84504,104,3.43,30.3,84621,117,34.1,0.9  
2018/07/10,84621,100,3.28,30.5,84682,61,18.6,1.6  
2018/07/14,84682,83,2.75,30.2,84787,105,38.2,0.8  
2018/07/19,84787,87,2.73,30.3,84910,123,45.1,0.7  
2018/07/15,84910,105,3.5,30.0,85033,123,35.1,0.9  
2018/08/01,85033,108,3.58,30.2,85133,100,27.9,1.1  
2018/08/07,85133,92,3.06,30.2,85240,107,35.0,0.9  
2018/08/14,85240,95,3.14,30.1,85357,117,37.3,0.8  
2018/08/20,85357,94,3.13,29.9,85449,92,29.4,1.0  
2018/08/26,85449,85,2.83,30.0,85583,134,47.3,0.6  
2018/08/30,85583,127,4.19,30.3,85687,104,24.8,1.2  
2018/09/05,85687,90,2.92,30.7,85778,91,31.2,1.0  
2018/09/11,85778,95,3.1,30.7,85882,104,33.5,0.9  
2018/09/18,85882,112,3.62,31.0,86000,118,32.6,0.9  
2018/09/20,86000,86,2.71,31.0,86115,115,42.4,0.7  
2018/09/28,86115,100,3.21,31.0,86219,104,32.4,1.0  
2018/10/04,86219,100,3.17,31.5,86320,101,31.9,1.0  
2018/10/11,86320,100,3.18,31.5,86422,102,32.1,1.0  
2018/10/16,86422,100,3.17,31.5,86525,103,32.5,1.0  
2018/10/23,86525,82,2.62,31.4,86635,110,42.0,0.7  
2018/10/29,86635,102,3.3,31.1,86761,126,38.2,0.8  
2018/11/04,86761,120,3.87,31.0,86874,113,29.2,1.1  
2018/11/09,86874,92,2.98,30.7,86993,119,39.9,0.8  
2018/11/15,86993,97,3.25,29.9,87108,115,35.4,0.8  
2018/11/22,87108,100,3.42,29.2,87211,103,30.1,1.0  
2018/11/28,87211,84,2.96,28.3,87324,113,38.2,0.7  
2018/12/05,87324,95,3.43,27.6,87450,126,36.7,0.8  
2018/12/17,87450,95,3.42,27.8,87550,100,29.2,0.9  
2018/12/26,87550,79,2.96,26.8,87676,126,42.6,0.6  
2019/01/03,87676,100,3.85,25.9,87781,105,27.3,1.0  
2019/01/14,87781,82,2.96,26.7,87886,105,35.5,0.8  
2019/01/21,87886,84,3.02,27.8,87988,102,33.8,0.8  
2019/01/30,87988,85,3.06,27.8,88098,110,35.9,0.8  
2019/02/11,88098,90,3.24,27.8,88200,102,31.5,0.9  
2019/02/18,88200,79,2.86,27.8,88317,117,40.9,0.7  
2019/02/23,88317,75,2.69,27.7,88408,91,33.8,0.8  
2019/02/27,88408,83,3.0,27.7,88540,132,44.0,0.6  
2019/03/11,88540,104,3.71,28.0,88660,120,32.3,0.9  
2019/03/18,88660,95,3.36,28.3,88738,78,23.2,1.2  
2019/03/25,88738,81,2.82,28.8,88850,112,39.7,0.7  
2019/04/02,88850,95,3.27,29.0,88938,88,26.9,1.1  
2019/04/15,88938,80,2.74,29.4,89026,88,32.1,0.9  
2019/05/03,89026,91,3.03,30.1,89133,107,35.3,0.9  
2019/05/21,89133,104,3.42,30.3,89238,105,30.7,1.0  
2019/06/06,89238,100,3.34,29.8,89357,119,35.6,0.8  
2019/06/25,89357,48,1.68,28.6,89400,43,25.6,1.1  
2019/07/05,89400,100,3.46,29.0,89519,119,34.4,0.8  
2019/07/29,89519,104,3.97,28.6,89632,113,28.5,0.9  
2019/10/02,89632,120,4.21,28.5,89765,133,31.6,0.9  
2019/11/04,89765,100,3.58,27.9,89867,102,28.5,1.0  
2019/12/27,89867,105,3.63,29.0,89948,81,22.3,1.3  
2020/02/03,89948,89,3.25,27.3,90034,86,26.5,1.0  
2020/03/09,90034,86,3.38,25.5,90107,73,21.6,1.2  
2020/04/14,90107,50,2.58,19.4,90151,44,17.1,1.1  
2020/04/29,90151,33,1.89,17.6,90256,105,55.6,0.3  
2020/05/06,90256,50,2.82,17.6,90349,93,33.0,0.5  
2020/05/14,90349,61,3.1,19.7,90445,96,31.0,0.6  
2020/05/21,90445,54,2.61,20.5,90522,77,29.5,0.7  
2020/06/04,90522,56,2.61,21.3,90616,94,36.0,0.6  
2020/06/11,90616,56,2.54,22.0,90696,80,31.5,0.7  
2020/06/16,90696,55,2.4,22.8,90770,74,30.8,0.7  
2020/06/22,90770,55,2.37,23.1,90871,101,42.6,0.5  
