year,nowkm,lit,op 
2014,845,24.25,686
2015,7307,203.57999999999996,5108
2016,6851,195.42999999999998,4634
2017,5652,159.29000000000002,4072
2018,4406,135.54,4042
2019,2272,70.9,2005
2020,923,29.55,645
