2017/04/20,79385,112,4.29,26.1 
2017/04/29,79540,108,4.22,25.7 
2017/05/05,79631,65,2.58,25.1 
2017/05/07,79712,66,2.61,25.2 
2017/05/14,79870,90,3.61,24.9 
2017/05/25,80106,87,3.44,25.3 
2017/06/05,80242,98,3.96,24.9 
2017/06/12,80368,87,3.55,24.4 
2017/06/18,80508,100,4.07,24.5 
2017/06/26,80630,84,3.5,23.9 
2017/07/02,80730,80,3.33,24.0 
2017/07/10,80884,104,4.22,24.6 
2017/07/16,81015,94,3.81,24.7 
2017/07/21,81129,83,3.45,24.1 
2017/07/24,81235,84,3.43,24.6 
2017/07/28,81345,81,3.31,24.6 
2017/08/03,81459,76,3.01,24.8 
2017/08/06,81548,92,3.71,24.8 
2017/08/10,81671,85,3.34,25.3 
2017/08/13,81758,65,2.54,25.3 
2017/08/17,81872,97,3.84,25.3 
2017/08/19,81969,97,3.34,25.4 
2017/08/24,82075,86,3.44,25.0 
2017/08/27,82174,83,3.3,25.1 
2017/08/31,82280,96,3.8,25.2 
2017/09/05,82371,69,2.72,25.3 
2017/09/09,82485,94,3.71,25.3 
2017/09/15,82614,104,4.03,25.7 
2017/09/17,82684,55,2.14,25.8 
2017/09/21,82788,86,3.31,26.0 
2017/09/24,82903,97,3.72,26.0 
2017/10/07,83108,103,3.85,26.7 
2017/12/01,83102,99,3.58,27.7 
2017/12/22,83157,64,2.3,27.8 
2018/01/10,83270,96,3.38,28.4 
2018/01/18,83369,83,2.91,28.6 
2018/01/24,83464,85,2.96,28.7 
2018/02/27,83571,104,3.75,27.7 
2018/03/09,83672,83,3.0,27.8 
2018/03/23,83759,95,3.44,27.5 
2018/04/09,83882,105,3.71,28.2 
2018/04/21,83959,91,3.15,28.8 
2018/05/08,84052,115,3.88,29.6 
2018/05/24,84124,92,3.02,30.5 
2018/06/11,84208,98,3.26,30.1 
2018/06/20,84289,96,3.18,30.1 
2018/06/26,84394,90,2.99,30.0 
2018/07/04,84504,104,3.43,30.3 
2018/07/10,84621,100,3.28,30.5 
2018/07/14,84682,83,2.75,30.2 
2018/07/19,84787,87,2.73,30.3 
2018/07/15,84910,105,3.5,30.0 
2018/08/01,85033,108,3.58,30.2 
2018/08/07,85133,92,3.06,30.2 
2018/08/14,85240,95,3.14,30.1 
2018/08/20,85357,94,3.13,29.9 
2018/08/26,85449,85,2.83,30.0 
2018/08/30,85583,127,4.19,30.3 
2018/09/05,85687,90,2.92,30.7 
2018/09/11,85778,95,3.1,30.7 
2018/09/18,85882,112,3.62,31.0 
2018/09/20,86000,86,2.71,31.0 
2018/09/28,86115,100,3.21,31.0 
2018/10/04,86219,100,3.17,31.5 
2018/10/11,86320,100,3.18,31.5 
2018/10/16,86422,100,3.17,31.5 
