2014年,26.0,64.0,98.5,579.6,1475.6 
2015年,22.4,64.0,64.8,5720.3,5912.3 
2016年,21.6,64.0,64.0,6019.2,6019.2 
2017年,18.7,56.0,64.5,4723.8,6755.8 
2018年,23.9,56.0,64.5,3505.1,5537.1 
2019年,22.9,56.0,64.5,3721.1,5753.1 
2020年,21.0,60,66.2,2460.8,3180.8 
