date,weight 
2018-11,67.6
2018-11,68.4
2018-11,70.2
2018-11,69.6
2018-11,68.5
2018-11,69.3
2018-11,68.1
2018-11,67.6
2018-11,69.4
2018-11,68.7
2018-11,68.3
2018-12,69.7
2018-12,69.7
2018-12,68.7
2018-12,70.5
2018-12,70.1
2018-12,69.4
2018-12,69.7
2018-12,68.9
2018-12,69.4
2018-12,70.3
2018-12,70.3
2019-01,71.7
2019-01,71.7
2019-01,71.7
2019-01,71.0
2019-01,71.3
2019-01,71.0
2019-01,69.8
2019-01,70.1
2019-01,71.5
2019-01,71.4
2019-01,71.9
2019-01,71.1
2019-01,71.1
2019-01,71.2
2019-01,70.8
2019-01,71.0
2019-01,70.7
2019-01,70.6
2019-01,71.0
2019-01,70.5
2019-02,71.4
2019-02,72.1
2019-02,71.3
2019-02,72.0
2019-02,72.4
2019-02,73.1
2019-02,73.1
2019-02,71.9
2019-02,71.0
2019-02,71.1
2019-02,70.9
2019-02,71.4
2019-02,71.0
2019-02,71.0
2019-02,71.7
2019-02,70.9
2019-02,70.7
2019-02,71.6
2019-02,71.5
2019-02,72.0
2019-02,71.6
2019-02,71.8
2019-02,71.9
2019-02,71.6
2019-02,71.3
2019-03,72.9
2019-03,72.6
2019-03,72.5
2019-03,72.7
2019-03,71.8
2019-03,72.1
2019-03,72.3
2019-03,72.3
2019-03,72.3
2019-03,72.3
2019-03,72.7
2019-03,72.5
2019-03,72.9
2019-03,73.0
2019-03,72.6
2019-03,72.8
2019-03,73.7
2019-03,73.2
2019-03,73.4
2019-03,72.3
2019-03,73.1
2019-03,73.4
2019-03,73.3
2019-03,72.7
2019-03,72.7
2019-03,73.4
2019-04,73.4
2019-04,71.7
2019-04,72.7
2019-04,71.9
2019-04,71.9
2019-04,71.5
2019-04,71.5
2019-04,71.3
2019-04,70.8
2019-04,71.2
2019-04,70.8
2019-04,70.8
2019-04,70.2
2019-04,70.2
2019-04,70.1
2019-04,69.9
2019-04,73.0
2019-04,71.6
2019-04,72.0
2019-04,71.8
2019-04,72.2
2019-04,71.2
2019-04,71.8
2019-04,71.3
2019-04,70.9
2019-04,70.9
2019-04,70.9
2019-04,71.7
2019-04,71.5
2019-04,71.4
2019-04,70.6
2019-04,70.9
2019-04,71.0
2019-04,71.0
2019-04,71.5
2019-04,71.2
2019-04,71.5
2019-04,71.0
2019-04,70.0
2019-04,69.5
2019-04,69.8
2019-04,69.6
2019-04,69.3
2019-04,69.3
2019-04,69.0
2019-04,68.5
2019-05,69.3
2019-05,68.3
2019-05,68.8
2019-05,68.2
2019-05,68.2
2019-05,69.0
2019-05,68.8
2019-05,69.3
2019-05,69.1
2019-05,69.4
2019-05,68.6
2019-05,68.6
2019-05,67.9
2019-05,68.1
2019-05,68.4
2019-05,69.3
2019-05,68.7
2019-05,68.5
2019-05,68.8
2019-05,68.8
2019-05,68.8
2019-05,69.0
2019-05,68.8
2019-05,68.8
2019-05,68.2
2019-05,68.4
2019-05,68.5
2019-05,68.8
2019-05,68.1
2019-05,67.7
2019-05,68.2
2019-05,68.0
2019-05,67.9
2019-05,67.9
2019-05,67.9
2019-05,67.7
2019-05,67.7
2019-05,67.4
2019-05,67.7
2019-05,67.7
2019-05,67.7
2019-05,67.8
2019-05,67.4
2019-05,67.2
2019-05,67.3
2019-05,67.4
2019-05,67.4
2019-05,67.4
2019-05,68.1
2019-05,68.1
2019-05,68.4
2019-05,68.7
2019-05,68.7
2019-05,69.0
2019-05,68.7
2019-05,68.5
2019-05,67.5
2019-05,67.8
2019-05,68.9
2019-05,69.0
2019-05,69.7
2019-05,69.6
2019-05,68.4
2019-05,68.2
2019-05,68.2
2019-05,68.1
2019-05,67.3
2019-05,67.4
2019-05,67.8
2019-05,67.8
2019-05,67.2
2019-05,67.5
2019-05,67.7
2019-05,67.8
2019-05,67.8
2019-05,67.1
2019-05,67.4
2019-05,67.7
2019-05,67.9
2019-05,67.7
2019-05,66.8
2019-05,67.3
2019-05,67.3
2019-05,67.4
2019-05,66.7
2019-05,67.0
2019-05,66.7
2019-05,66.5
2019-05,66.2
2019-05,66.5
2019-05,66.3
2019-05,67.2
2019-05,67.2
2019-05,67.3
2019-05,66.5
2019-05,66.9
2019-05,67.3
2019-05,66.2
2019-05,66.7
2019-05,66.8
2019-05,66.8
2019-05,66.8
2019-05,66.8
2019-05,67.1
2019-05,67.4
2019-05,67.4
2019-06,67.3
2019-06,67.1
2019-06,67.6
2019-06,67.5
2019-06,68.2
2019-06,68.2
2019-06,68.4
2019-06,69.5
2019-06,69.7
2019-06,69.5
2019-06,68.9
2019-06,69.2
2019-06,69.1
2019-06,67.5
2019-06,67.5
2019-06,67.8
2019-06,67.8
2019-06,68.0
2019-06,68.5
2019-06,67.6
2019-06,68.1
2019-06,68.0
2019-06,67.8
2019-06,68.7
2019-06,69.0
2019-06,68.3
2019-06,69.5
2019-06,69.1
2019-06,68.9
2019-07,69.0
2019-07,69.0
2019-07,69.0
2019-07,69.7
2019-07,69.4
2019-07,69.5
2019-07,69.5
2019-07,68.8
2019-07,69.3
2019-07,70.8
2019-07,70.5
2019-07,70.8
2019-07,70.8
2019-07,71.6
2019-07,71.7
2019-07,71.5
2019-07,71.2
2019-07,71.3
2019-07,71.8
2019-07,70.9
2019-07,71.5
2019-07,71.5
2019-07,71.1
2019-07,71.0
2019-07,71.2
2019-07,71.2
2019-08,72.7
2019-08,71.9
2019-08,71.9
2019-08,71.8
2019-08,72.1
2019-08,72.2
2019-08,70.9
2019-08,70.7
2019-08,70.6
2019-08,70.8
2019-09,69.7
2019-09,69.9
2019-09,70.6
2019-09,70.4
2019-09,71.9
2019-09,71.2
2019-09,71.2
2019-09,71.5
2019-09,71.2
2019-09,70.7
2019-09,71.5
2019-09,70.9
2019-09,70.9
2019-09,72.4
2019-10,71.2
2019-10,71.2
2019-10,72.2
2019-10,71.6
2019-10,72.0
2019-10,71.5
