timestamp,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat,impedance
1527812465,67.7,170.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1527836363,66.6,170.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1528023207,68.7,170.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1528065697,68.8,170.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1528065812,68.5,170.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1528105747,68.4,170.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0
1528106413,67.7,170.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1528118094,67.7,170.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1528152719,67.7,170.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1528178538,67.4,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528190666,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528191076,66.9,170.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1528195407,66.7,170.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1528206571,67.1,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528238795,67.3,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528238934,67.2,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528265727,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528265847,67.3,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528325337,67.3,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528346130,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528346262,67.2,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528354841,67.0,170.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1528379873,66.2,170.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0
1528411496,66.8,170.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1528411647,66.5,170.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1528427670,67.1,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528434993,66.8,170.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1528637513,67.1,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528705794,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528723436,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528744608,67.5,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528801259,67.4,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528843990,67.4,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528874485,67.0,170.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0
1528887781,67.5,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1528888106,66.6,170.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1528898264,67.1,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1528935610,68.1,170.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1528946921,67.9,170.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1528963097,67.3,170.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1529016673,67.6,170.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0
