sno,sna,tot,sbi,sarea,bemp
1163,板橋信義公園,40,25,板橋區,15
1164,國光里(國光路),34,16,板橋區,18
1165,民生長江路口,36,20,板橋區,16
1166,華福市民活動中心,36,19,中和區,17
1167,浮洲合宜住宅(合安一路),34,16,板橋區,18
1168,建福公園,38,26,新莊區,12
1169,水河里活動中心,52,41,蘆洲區,11
1170,金城延和路口,38,29,土城區,9
1171,國光公園,36,26,板橋區,10
1172,樹林火車站(後站),52,16,樹林區,35
1173,文林國小,32,22,樹林區,10
1174,土城綜合體育場,44,32,土城區,12
1175,板橋福德公園,32,7,板橋區,25
1176,光華公園,32,16,樹林區,16
1177,樹林大安活動中心,36,22,樹林區,14
1178,三民中山一路口,36,17,蘆洲區,19
1179,義學國小,34,4,泰山區,30
1180,自然公園,34,19,三重區,14
1181,板林溪北路口,46,7,板橋區,39
1182,新北市藝文中心,40,26,板橋區,13
1183,大安中央路口,32,9,土城區,23
1184,中和地政事務所,28,16,中和區,12
1185,華夏科技大學,42,32,中和區,10
1186,同興公園,34,7,泰山區,27
1187,新五泰國民運動中心,30,8,泰山區,22
1188,溪洲公園停車場,34,14,板橋區,20
1189,崑崙公園,38,12,板橋區,26
1190,捷運海山站(3號出口),40,11,土城區,27
1191,興化公園,38,25,新莊區,13
1192,潤泰社區,36,6,板橋區,28
1193,西盛館,30,8,新莊區,22
1194,秀朗成功路口,40,28,中和區,12
1195,板橋國中,54,28,板橋區,26
1196,永豐公園活動中心,32,26,板橋區,6
1197,義仁市民活動中心,36,20,泰山區,16
1198,鶯歌國中,34,4,鶯歌區,30
1199,捷運迴龍站(3號出口),60,13,新莊區,47
1200,捷運先嗇宮站(2號出口),50,39,三重區,11
1201,鶯歌火車站(仁愛路),58,23,鶯歌區,35
1202,建國育英路口,50,0,鶯歌區,0
1203,鶯歌陶瓷老街,44,19,鶯歌區,21
1204,立泰里(中環路二段),40,28,新莊區,12
1205,竹圍公園,28,26,淡水區,2
1206,新北市立鶯歌陶瓷博物館,40,22,鶯歌區,18
1207,浮洲合宜住宅(樂群路),46,28,板橋區,18
1208,尖山公園,44,31,鶯歌區,13
1209,崇德橋東活動中心,26,14,汐止區,12
1210,樹林區衛生所,38,23,樹林區,15
1211,溪墘公園,36,28,蘆洲區,8
1212,育德國小,34,25,樹林區,9
1213,彭福國小,40,30,樹林區,10
1214,民享藝文特區,36,26,中和區,10
1215,億光電子(樹林高中),40,7,樹林區,33
1216,捷運永寧站(2號出口),44,10,土城區,33
1217,竿蓁市民活動中心,48,14,淡水區,34
1218,長壽親子公園,38,16,樹林區,22
1219,新市國小,36,16,淡水區,20
1220,新北市立圖書館鶯歌分館,36,16,鶯歌區,20
1221,德音國小,36,4,五股區,32
1222,中山北新春街口,40,34,淡水區,6
1223,正德國中,40,34,淡水區,6
1224,金城立體停車場,42,27,土城區,15
1225,先嗇宮,40,5,三重區,34
1226,板橋第一運動場,40,20,板橋區,20
1227,光興國小,36,18,三重區,18
1228,安和市民活動中心,38,26,新店區,12
1229,景安板南路口,30,12,中和區,18
1230,新月橋,50,44,新莊區,6
1231,修德國小,42,31,三重區,11
1232,福祥里(中和溝),38,19,中和區,18
1233,濱海義山路口,40,27,淡水區,13
1234,鴨母港抽水站,40,22,蘆洲區,17
1235,捷運淡水站,106,11,淡水區,94
1236,安成安德街口,36,33,新店區,3
1237,淡水國民運動中心,46,6,淡水區,40
1238,捷運竹圍站,46,5,淡水區,40
1239,龍門公園,38,32,三重區,6
1240,濱海中山北路口,34,14,淡水區,20
1241,永安圖書館,36,29,蘆洲區,7
1242,西盛廣場,34,13,新莊區,21
1243,三峽區公所(三峽老街),42,4,三峽區,38
1244,仁愛文化二路口,50,24,林口區,26
1245,崑崙活力廣場,42,18,板橋區,23
1246,永盛公園,38,2,三重區,34
1247,鷺江廣場,32,25,蘆洲區,7
1248,六張公園,36,25,三重區,10
1249,中山佳林路口,36,12,林口區,24
1250,國立臺北大學(三峽校區),58,12,三峽區,43
1251,林口區公所,34,17,林口區,17
1252,新麗園社區,42,30,林口區,11
1253,中正富國路口,42,28,新莊區,14
1254,大同國小,36,29,樹林區,6
1255,新北市立圖書館五股成功分館,42,20,五股區,22
1256,民德立體停車場,32,20,中和區,12
1257,麗林公有市場,34,17,林口區,17
1258,南樹林火車站,34,4,樹林區,29
1259,新北市立鶯歌高級工商職業學校,40,13,鶯歌區,27
1260,行政院新莊聯合辦公大樓,44,7,新莊區,36
1261,柑園五里聯合活動中心,40,14,樹林區,26
1262,中和自強公園,38,19,中和區,19
1263,富貴森林公園,36,29,林口區,7
1264,林口自強公園,36,21,林口區,14
1265,永昌里兒一公園,36,17,鶯歌區,19
1266,捷運林口站(1號出口),60,5,林口區,55
1267,南興公園,34,27,汐止區,7
1268,立言公園,34,14,林口區,19
1269,溪北公園,36,20,板橋區,16
1270,頂新祖田市民活動中心,34,27,土城區,7
1271,貴和市民活動中心,34,19,泰山區,14
1272,頂埔國小,34,30,土城區,4
1273,三峽區礁溪行政中心,32,23,三峽區,9
1274,林口國小,36,26,林口區,10
1275,南勢市民活動中心,34,28,林口區,6
1276,青山廣場,36,26,土城區,10
1277,林口社區運動公園,36,4,林口區,32
1278,捷運新莊站 ( 2號出口 ),40,3,新莊區,37
1279,俊英俊保路口,30,27,樹林區,3
1280,洲子洋公園,38,11,五股區,27
1281,學成大義路口,46,33,樹林區,12
1282,捷運頭前庄站(1號出口),52,2,新莊區,49
1283,文化機車立體停車場,32,27,淡水區,5
1284,成德公園,36,7,五股區,29
1285,頭湖國小,38,23,林口區,15
1286,金城立德路口,38,32,土城區,6
1287,恩主公醫院,66,34,三峽區,28
1288,中和區公所,32,20,中和區,12
1289,忠山市民活動中心,36,20,汐止區,16
1290,三重永豐公園,32,14,三重區,16
1291,臺灣藝術大學,40,8,板橋區,32
1292,新莊體育館,40,29,新莊區,10
1293,永和耕莘醫院,32,4,永和區,28
1294,三多國小,34,22,樹林區,12
1295,永安兒童公園,30,10,蘆洲區,20
1296,新北市立中和高級中學,36,17,中和區,18
1297,扶輪公園,40,21,林口區,19
1298,安邦公園,34,24,中和區,10
1299,立德公園,34,20,林口區,14
1300,新北市政府(新站路),60,8,板橋區,52
1301,清水高中,34,10,土城區,23
1302,板橋車站,98,8,板橋區,89
1303,樹林國民運動中心,34,7,樹林區,26
1304,捷運輔大站(4號出口),42,27,新莊區,15
1305,民安東民全街口,36,27,新莊區,9
1306,中興北街175巷口,32,15,三重區,16
1307,仁愛路151巷口,44,25,汐止區,19
1308,五股工商立體停車場,40,13,五股區,27
1309,沛陂社區公園,34,21,土城區,13
1310,佳和公園,34,31,中和區,3
1311,溪頭公園,40,22,板橋區,18
1312,龍鳳公園,40,4,新莊區,35
1313,伊吉邦社區,46,39,新莊區,7
1314,三多第1市民活動中心,34,11,樹林區,23
1315,新北高工,44,6,土城區,37
1316,瑞芳火車站,44,4,瑞芳區,40
1317,長風社區,36,25,土城區,11
1318,永和國民運動中心,40,17,永和區,23
1319,民樂人行廣場,36,26,中和區,10
1320,民生親子公園,30,12,樹林區,18
1321,樹林工業區,38,19,樹林區,19
1322,防災公園,36,24,三峽區,12
1323,尖山國中,32,17,鶯歌區,15
1324,新北市立圖書館新店分館,36,6,新店區,29
1325,浮洲火車站,48,12,板橋區,36
1326,捷運海山站(1號出口),80,12,土城區,68
1327,深坑區公所(深坑老街),50,27,深坑區,22
1328,東南科技大學,34,7,深坑區,27
1329,德光國光街口,34,22,中和區,12
1330,瑞芳區公所,30,9,瑞芳區,21
1331,永和國父紀念館,30,20,永和區,10
1332,台北得意GO,30,22,五股區,8
1333,大觀國中,40,33,板橋區,6
1334,太陽公園,32,24,三重區,8
1335,三重五常公園,28,13,三重區,15
1336,三德公園,36,26,三重區,10
1337,力行大勇街口,30,18,三重區,12
1338,蘆洲延平派出所,36,32,蘆洲區,4
1339,永安南路九芎街71巷口,36,28,蘆洲區,8
1340,福和宮,50,12,中和區,37
1341,飛駝社區(興南路),42,20,中和區,22
1342,保平路214巷,30,17,永和區,13
1343,汐科火車站(南),48,10,汐止區,38
1344,樹林國小,34,16,樹林區,18
1345,永吉國小,36,24,鶯歌區,12
1346,中園國小,36,26,三峽區,10
1347,介壽國小,30,8,三峽區,22
1348,安溪國中,32,11,三峽區,21
1349,龍埔國小,38,17,三峽區,21
1350,大安路與中山路二段口,34,18,樹林區,16
