日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"10,632,677","214,564,858",20.15,20.35,20.10,20.10, 0.00,"2,706"
108/01/03,"9,248,924","186,364,854",20.10,20.25,20.10,20.10, 0.00,"2,375"
108/01/04,"13,442,390","270,504,048",20.05,20.20,20.00,20.20,+0.10,"3,544"
108/01/07,"17,140,517","347,951,875",20.35,20.35,20.20,20.30,+0.10,"5,256"
108/01/08,"18,851,552","382,764,260",20.35,20.40,20.20,20.30, 0.00,"4,713"
108/01/09,"30,540,683","630,816,145",20.40,20.75,20.40,20.70,+0.40,"7,430"
108/01/10,"14,448,305","300,107,214",20.70,20.90,20.60,20.90,+0.20,"4,218"
108/01/11,"22,663,179","474,976,759",20.95,21.00,20.85,21.00,+0.10,"5,716"
108/01/14,"14,260,781","299,023,451",21.00,21.05,20.90,21.00, 0.00,"2,658"
108/01/15,"21,864,981","460,404,449",21.00,21.15,20.95,21.10,+0.10,"4,161"
108/01/16,"12,388,072","260,304,794",21.10,21.10,20.95,21.00,-0.10,"3,469"
108/01/17,"21,690,257","453,354,047",20.75,21.00,20.75,20.95,-0.05,"4,931"
108/01/18,"17,191,958","362,232,875",20.95,21.20,20.90,21.20,+0.25,"3,919"
108/01/21,"17,278,537","368,110,972",21.20,21.40,21.20,21.40,+0.20,"4,970"
108/01/22,"15,799,084","336,642,641",21.35,21.40,21.20,21.35,-0.05,"3,655"
108/01/23,"8,528,305","180,342,672",21.15,21.20,21.05,21.15,-0.20,"3,303"
108/01/24,"16,379,843","345,262,536",21.05,21.15,20.95,21.15, 0.00,"4,322"
108/01/25,"20,060,543","424,651,398",21.05,21.25,21.00,21.20,+0.05,"4,164"
108/01/28,"16,403,381","347,595,615",21.20,21.30,21.10,21.30,+0.10,"5,517"
108/01/29,"17,623,536","373,810,544",21.30,21.35,21.10,21.25,-0.05,"4,578"
108/01/30,"22,941,765","489,284,558",21.20,21.40,21.15,21.35,+0.10,"4,135"
